,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,emoji_count
24,1589910548975849474,1589910548975849474,2022-11-08 17:19:48 Malay Peninsula Standard Time,2022-11-08,17:19:48,800,3342509271,mmalkamaki,Matti Malkamäki,, giving introduction to approach to tackle the climatechange make finland climateneutral and enlarge our carbonhandprint we all need to stand up and start the actions https t co eu diejpxv,en,"['phsaren', 'businessfinland', 'lappeenrantafi', 'unilut', 'both2niaeng']",[],['https://pbs.twimg.com/media/FhB_Np8aMAIgO_c.jpg'],0,0,3,"('', 0)",[],https://twitter.com/MMalkamaki/status/1589910548975849474,False,,1,https://pbs.twimg.com/media/FhB_Np8aMAIgO_c.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
25,1589906469281230848,1589906469281230848,2022-11-08 17:03:35 Malay Peninsula Standard Time,2022-11-08,17:03:35,800,3342509271,mmalkamaki,Matti Malkamäki,,in her opening speech addressed the need to continue and emphasize the existing actions to prevent climatechange these also help to raise energyindependence https t co t tt w jb,en,"['mariaohisalo', 'lappeenrantafi', 'unilut', 'both2niaeng']",[],['https://pbs.twimg.com/media/FhB7gMRX0AA-Ync.jpg'],0,1,9,"('', 0)",[],https://twitter.com/MMalkamaki/status/1589906469281230848,False,,1,https://pbs.twimg.com/media/FhB7gMRX0AA-Ync.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
26,1575127468146565123,1575127468146565123,2022-09-28 22:17:07 Malay Peninsula Standard Time,2022-09-28,22:17:07,800,1445984275,s_vanhamaki,Susanna Vanhamäki,,environmental director rasanen presenting the success story of in becoming a pilot city a forerunner in climatechange mitigation at annual event https t co zpfbsmxk,en,"['ilkka', 'lappeenrantafi', 'eusbsr']",[],['https://pbs.twimg.com/media/Fdv6EZ_WIAMdxqF.jpg'],0,1,11,"('', 0)",[],https://twitter.com/S_Vanhamaki/status/1575127468146565123,False,,1,https://pbs.twimg.com/media/Fdv6EZ_WIAMdxqF.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
27,1589910548975849474,1589910548975849474,2022-11-08 17:19:48 Malay Peninsula Standard Time,2022-11-08,17:19:48,800,3342509271,mmalkamaki,Matti Malkamäki,, giving introduction to approach to tackle the climatechange make finland climateneutral and enlarge our carbonhandprint we all need to stand up and start the actions https t co eu diejpxv,en,"['phsaren', 'businessfinland', 'lappeenrantafi', 'unilut', 'both2niaeng']",[],['https://pbs.twimg.com/media/FhB_Np8aMAIgO_c.jpg'],0,0,3,"('', 0)",[],https://twitter.com/MMalkamaki/status/1589910548975849474,False,,1,https://pbs.twimg.com/media/FhB_Np8aMAIgO_c.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
28,1589906469281230848,1589906469281230848,2022-11-08 17:03:35 Malay Peninsula Standard Time,2022-11-08,17:03:35,800,3342509271,mmalkamaki,Matti Malkamäki,,in her opening speech addressed the need to continue and emphasize the existing actions to prevent climatechange these also help to raise energyindependence https t co t tt w jb,en,"['mariaohisalo', 'lappeenrantafi', 'unilut', 'both2niaeng']",[],['https://pbs.twimg.com/media/FhB7gMRX0AA-Ync.jpg'],0,1,9,"('', 0)",[],https://twitter.com/MMalkamaki/status/1589906469281230848,False,,1,https://pbs.twimg.com/media/FhB7gMRX0AA-Ync.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
29,1589910548975849474,1589910548975849474,2022-11-08 17:19:48 Malay Peninsula Standard Time,2022-11-08,17:19:48,800,3342509271,mmalkamaki,Matti Malkamäki,, giving introduction to approach to tackle the climatechange make finland climateneutral and enlarge our carbonhandprint we all need to stand up and start the actions https t co eu diejpxv,en,"['phsaren', 'businessfinland', 'lappeenrantafi', 'unilut', 'both2niaeng']",[],['https://pbs.twimg.com/media/FhB_Np8aMAIgO_c.jpg'],0,0,3,"('', 0)",[],https://twitter.com/MMalkamaki/status/1589910548975849474,False,,1,https://pbs.twimg.com/media/FhB_Np8aMAIgO_c.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
30,1589906469281230848,1589906469281230848,2022-11-08 17:03:35 Malay Peninsula Standard Time,2022-11-08,17:03:35,800,3342509271,mmalkamaki,Matti Malkamäki,,in her opening speech addressed the need to continue and emphasize the existing actions to prevent climatechange these also help to raise energyindependence https t co t tt w jb,en,"['mariaohisalo', 'lappeenrantafi', 'unilut', 'both2niaeng']",[],['https://pbs.twimg.com/media/FhB7gMRX0AA-Ync.jpg'],0,1,9,"('', 0)",[],https://twitter.com/MMalkamaki/status/1589906469281230848,False,,1,https://pbs.twimg.com/media/FhB7gMRX0AA-Ync.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
31,1575127468146565123,1575127468146565123,2022-09-28 22:17:07 Malay Peninsula Standard Time,2022-09-28,22:17:07,800,1445984275,s_vanhamaki,Susanna Vanhamäki,,environmental director rasanen presenting the success story of in becoming a pilot city a forerunner in climatechange mitigation at annual event https t co zpfbsmxk,en,"['ilkka', 'lappeenrantafi', 'eusbsr']",[],['https://pbs.twimg.com/media/Fdv6EZ_WIAMdxqF.jpg'],0,1,11,"('', 0)",[],https://twitter.com/S_Vanhamaki/status/1575127468146565123,False,,1,https://pbs.twimg.com/media/Fdv6EZ_WIAMdxqF.jpg,,"59.94539,30.30609,300km",,,,,[],,,,,0
32,1451141348044771333,1451061401615806468,2021-10-21 19:00:32 Malay Peninsula Standard Time,2021-10-21,19:00:32,800,50598384,clawjaw,Мэтт,, i enjoy it when the climate changes as a human being my body needs it the earth also needs the climate to change anyway just going to pop some fuel into our outdoor heater for the chickens https t co mmgdi xfbo,en,['frankiegem57'],[],['https://pbs.twimg.com/tweet_video_thumb/FCN9XAsWYAUpd7-.jpg'],0,0,0,"('', 0)",[],https://twitter.com/Clawjaw/status/1451141348044771333,False,,1,https://pbs.twimg.com/tweet_video_thumb/FCN9XAsWYAUpd7-.jpg,,"55.16310,61.38877,300km",,,,,"[{'screen_name': 'FrankieGem57', 'name': 'Chris (VOTE BACK BETTER) Cooper', 'id': '765575668323213312'}]",,,,,0
33,1451141348044771333,1451061401615806468,2021-10-21 19:00:32 Malay Peninsula Standard Time,2021-10-21,19:00:32,800,50598384,clawjaw,Мэтт,, i enjoy it when the climate changes as a human being my body needs it the earth also needs the climate to change anyway just going to pop some fuel into our outdoor heater for the chickens https t co mmgdi xfbo,en,['frankiegem57'],[],['https://pbs.twimg.com/tweet_video_thumb/FCN9XAsWYAUpd7-.jpg'],0,0,0,"('', 0)",[],https://twitter.com/Clawjaw/status/1451141348044771333,False,,1,https://pbs.twimg.com/tweet_video_thumb/FCN9XAsWYAUpd7-.jpg,,"55.16310,61.38877,300km",,,,,"[{'screen_name': 'FrankieGem57', 'name': 'Chris (VOTE BACK BETTER) Cooper', 'id': '765575668323213312'}]",,,,,0
34,1553640402254700544,1553640402254700544,2022-07-31 15:15:11 Malay Peninsula Standard Time,2022-07-31,15:15:11,800,361118382,ifortknox,КАЦ 🇰🇪🇾🇪🇵🇸🍂,,america is mobilising its warships around china burning fossils fuel and polluting the environment just so its geriatric speaker can visit a chinese territory and yet that county still finds the nerve the lecture poor countries about the dangers of climate change lmao,en,[],[],[],0,0,1,"('', 0)",[],https://twitter.com/iFortknox/status/1553640402254700544,False,,0,,,"55.16310,61.38877,300km",,,,,[],,,,,0
